job_title,employment_type,experience_level,expertise_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,year,standardized_salary
Business Data Analyst,Freelance,Mid,Intermediate,36000,United States Dollar,Ghana,36000,Ghana,Small,2023,-0.4770577258847377
NLP Engineer,Full-Time,Mid,Intermediate,2700000,Indian Rupee,India,32834,India,Medium,2023,3.4005317386928677
Research Scientist,Full-Time,Senior,Expert,205640,United States Dollar,United States,205640,United States,Medium,2023,0.4562725587961146
Research Scientist,Full-Time,Senior,Expert,142600,United States Dollar,United States,142600,United States,Medium,2023,-0.3524056431859533
Data Engineer,Full-Time,Senior,Expert,193200,United States Dollar,United States,193200,United States,Medium,2023,0.1512137969923366
Data Engineer,Full-Time,Senior,Expert,156400,United States Dollar,United States,156400,United States,Medium,2023,-0.012163377592737412
Machine Learning Engineer,Full-Time,Senior,Expert,196000,United States Dollar,United States,196000,United States,Medium,2023,0.00822045331412738
Machine Learning Engineer,Full-Time,Senior,Expert,121000,United States Dollar,United States,121000,United States,Medium,2023,-0.23996804853502962
Data Engineer,Full-Time,Senior,Expert,72000,United States Dollar,Argentina,72000,Argentina,Medium,2023,-0.3868653758258963
Data Engineer,Full-Time,Senior,Expert,48000,United States Dollar,Argentina,48000,Argentina,Medium,2023,-0.49341570707703153
Data Engineer,Full-Time,Senior,Expert,132300,United States Dollar,United States,132300,United States,Medium,2023,-0.11915766855741904
Data Scientist,Full-Time,Senior,Expert,197000,United States Dollar,Canada,197000,Canada,Medium,2023,-0.0495725706464901
Data Science Manager,Full-Time,Senior,Expert,328000,United States Dollar,United States,328000,United States,Medium,2023,-0.03878036966603241
Data Science Manager,Full-Time,Senior,Expert,211000,United States Dollar,United States,211000,United States,Medium,2023,-0.15656425196554252
Data Scientist,Full-Time,Senior,Expert,237000,United States Dollar,United States,237000,United States,Medium,2023,-0.019160249567862057
Data Scientist,Full-Time,Senior,Expert,201450,United States Dollar,United States,201450,United States,Medium,2023,-0.04618919992649273
ML Engineer,Full-Time,Senior,Expert,229000,United States Dollar,United States,229000,United States,Medium,2023,-0.1526555400474108
ML Engineer,Full-Time,Senior,Expert,206000,United States Dollar,United States,206000,United States,Medium,2023,-0.1698540993610214
Data Scientist,Full-Time,Senior,Expert,231000,United States Dollar,United States,231000,United States,Medium,2023,-0.023722097729656264
ML Engineer,Full-Time,Senior,Expert,183750,United States Dollar,United States,183750,United States,Medium,2023,-0.1864918360883186
ML Engineer,Full-Time,Senior,Expert,165400,United States Dollar,United States,165400,United States,Medium,2023,-0.20021329536678617
Data Engineer,Full-Time,Mid,Intermediate,175000,United States Dollar,United States,175000,United States,Medium,2023,0.07041312912689239
Data Engineer,Full-Time,Mid,Intermediate,125000,United States Dollar,United States,125000,United States,Medium,2023,-0.151566727646306
Analytics Engineer,Full-Time,Senior,Expert,152900,United States Dollar,United Kingdom,152900,United Kingdom,Medium,2023,0.006138201838101499
Analytics Engineer,Full-Time,Senior,Expert,117700,United States Dollar,United Kingdom,117700,United Kingdom,Medium,2023,-0.6191647148652282
Data Scientist,Full-Time,Senior,Expert,285800,United States Dollar,United States,285800,United States,Medium,2023,0.01794278214806416
Data Scientist,Full-Time,Senior,Expert,154600,United States Dollar,United States,154600,United States,Medium,2023,-0.08180963098983583
Data Operations Engineer,Full-Time,Senior,Expert,289120,United States Dollar,United States,289120,United States,Medium,2023,1.8004299337141765
Data Operations Engineer,Full-Time,Senior,Expert,192400,United States Dollar,United States,192400,United States,Medium,2023,0.5223340407777702
Staff Data Analyst,Full-Time,Mid,Intermediate,179998,United States Dollar,Saudi Arabia,179998,Saudi Arabia,Small,2023,0.9128709291752769
Applied Machine Learning Scientist,Full-Time,Entry,Junior,4000000,Indian Rupee,Germany,48644,India,Large,2023,2.900752641910322
Data Scientist,Full-Time,Mid,Intermediate,35000,United States Dollar,India,35000,India,Large,2023,-0.1727424710149337
Data Engineer,Full-Time,Senior,Expert,230000,United States Dollar,United States,230000,United States,Medium,2023,0.3145909715774106
AWS Data Architect,Full-Time,Mid,Intermediate,258000,United States Dollar,United States,258000,United States,Large,2023,
Data Scientist,Full-Time,Senior,Expert,196000,United States Dollar,United States,196000,United States,Medium,2023,-0.0503328786734558
Data Scientist,Full-Time,Senior,Expert,121000,United States Dollar,United States,121000,United States,Medium,2023,-0.1073559806958834
Data Scientist,Full-Time,Senior,Expert,219000,United States Dollar,United States,219000,United States,Medium,2023,-0.03284579405324468
Data Scientist,Full-Time,Senior,Expert,141000,United States Dollar,United States,141000,United States,Medium,2023,-0.09214982015656936
Data Engineer,Full-Time,Senior,Expert,206000,United States Dollar,United States,206000,United States,Medium,2023,0.2080406403262754
ML Engineer,Full-Time,Mid,Intermediate,300000,United States Dollar,Australia,300000,Australia,Medium,2023,-0.09956433520974331
ML Engineer,Full-Time,Mid,Intermediate,260000,United States Dollar,Australia,260000,Australia,Medium,2023,-0.1294748731464574
Data Analyst,Full-Time,Senior,Expert,147000,United States Dollar,United States,147000,United States,Medium,2023,0.32301960004351404
Data Manager,Full-Time,Mid,Intermediate,110000,United States Dollar,United States,110000,United States,Medium,2023,-0.017454296057036328
Data Manager,Full-Time,Mid,Intermediate,70000,United States Dollar,United States,70000,United States,Medium,2023,-0.9551987176978554
Data Engineer,Full-Time,Senior,Expert,284310,United States Dollar,United States,284310,United States,Medium,2023,0.5557054920044587
Data Engineer,Full-Time,Senior,Expert,153090,United States Dollar,United States,153090,United States,Medium,2023,-0.026858444111123148
Machine Learning Engineer,Full-Time,Senior,Expert,261500,United States Dollar,United States,261500,United States,Large,2023,0.22497174492905783
Machine Learning Engineer,Full-Time,Senior,Expert,134500,United States Dollar,United States,134500,United States,Large,2023,-0.19529411820218137
Product Data Analyst,Contract,Entry,Junior,83200,United States Dollar,United States,83200,United States,Small,2023,-0.42683438643107074
Data Engineer,Full-Time,Senior,Expert,204500,United States Dollar,Germany,204500,Germany,Medium,2023,0.20138124462307944
Data Engineer,Full-Time,Senior,Expert,142200,United States Dollar,Germany,142200,Germany,Medium,2023,-0.07520565691632576
Data Analyst,Full-Time,Senior,Expert,106000,United States Dollar,United States,106000,United States,Medium,2023,-0.0989855004175426
Analytics Engineer,Full-Time,Senior,Expert,275300,United States Dollar,United States,275300,United States,Medium,2023,2.1804869803746794
Analytics Engineer,Full-Time,Senior,Expert,183500,United States Dollar,United States,183500,United States,Medium,2023,0.549725396472246
Data Engineer,Full-Time,Mid,Intermediate,120000,British Pound Sterling,United Kingdom,147648,United Kingdom,Medium,2023,-0.17376471332362584
Data Engineer,Full-Time,Mid,Intermediate,100000,British Pound Sterling,United Kingdom,123040,United Kingdom,Medium,2023,-0.2625566560329052
Data Scientist,Full-Time,Mid,Intermediate,140000,United States Dollar,United States,140000,United States,Medium,2023,-0.09291012818353507
Data Engineer,Full-Time,Senior,Expert,136600,United States Dollar,United States,136600,United States,Medium,2023,-0.10006740087492397
Data Engineer,Full-Time,Senior,Expert,109280,United States Dollar,United States,109280,United States,Medium,2023,-0.22135719461579959
Data Analyst,Full-Time,Senior,Expert,84000,United States Dollar,Colombia,84000,Colombia,Medium,2023,-0.3254272616405486
Data Analyst,Full-Time,Senior,Expert,60000,United States Dollar,Colombia,60000,Colombia,Medium,2023,-0.5724546375201915
Analytics Engineer,Full-Time,Mid,Intermediate,60000,British Pound Sterling,United Kingdom,73824,United Kingdom,Medium,2023,-1.644164098211311
Analytics Engineer,Full-Time,Mid,Intermediate,50000,British Pound Sterling,United Kingdom,61520,United Kingdom,Medium,2023,-1.821806972274757
BI Data Analyst,Full-Time,Mid,Intermediate,70000,United States Dollar,United States,70000,Egypt,Medium,2023,-0.2635818699607216
Machine Learning Developer,Freelance,Senior,Expert,60000,United States Dollar,Nigeria,60000,Nigeria,Medium,2021,-0.3657377532230994
Research Engineer,Full-Time,Senior,Expert,281000,United States Dollar,United States,281000,United States,Medium,2023,0.028234121263591233
Data Integration Specialist,Full-Time,Entry,Junior,69500,United States Dollar,United States,69500,United States,Medium,2023,-0.5315645692045513
Data Integration Specialist,Full-Time,Entry,Junior,46400,United States Dollar,United States,46400,United States,Medium,2023,-0.5485255879708896
