job_title,employment_type,experience_level,expertise_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,year,standardized_salary
Machine Learning Engineer,Full-Time,Senior,Expert,140000,United States Dollar,Canada,140000,Canada,Medium,2022,-0.1770936280665765
Machine Learning Engineer,Full-Time,Senior,Expert,110000,United States Dollar,Canada,110000,Canada,Medium,2022,-0.2763690288062393
Data Engineer,Full-Time,Senior,Expert,85000,United States Dollar,United States,85000,United States,Medium,2022,-0.3291506130648647
ETL Developer,Full-Time,Senior,Expert,250000,United States Dollar,United States,250000,United States,Medium,2022,1.7895668854319469
ETL Developer,Full-Time,Senior,Expert,63000,United States Dollar,United States,63000,United States,Medium,2022,-1.064825877923342
Data Engineer,Full-Time,Executive,Director,187200,United States Dollar,United States,187200,United States,Medium,2022,0.1245762141795528
Data Engineer,Full-Time,Executive,Director,116100,United States Dollar,United States,116100,United States,Medium,2022,-0.1910791421519353
Data Engineer,Full-Time,Senior,Expert,229998,United States Dollar,United States,229998,United States,Large,2022,0.3145820923831396
Data Engineer,Full-Time,Senior,Expert,154545,United States Dollar,United States,154545,United States,Large,2022,-0.020398830279023
Data Scientist,Full-Time,Senior,Expert,215000,United States Dollar,United States,215000,United States,Large,2022,-0.0358870261611074
Data Scientist,Full-Time,Senior,Expert,159000,United States Dollar,United States,159000,United States,Large,2022,-0.0784642756711867
AI Scientist,Full-Time,Entry,Junior,50000,United States Dollar,United States,50000,United States,Medium,2022,-0.5086371509371717
Data Scientist Lead,Full-Time,Senior,Expert,183000,United States Dollar,United States,183000,United States,Large,2022,0.9128709291752768
Data Analyst,Full-Time,Senior,Expert,99750,United States Dollar,United States,99750,United States,Medium,2022,-0.1633155462195329
Data Analyst,Full-Time,Senior,Expert,68400,United States Dollar,United States,68400,United States,Medium,2022,-0.4859950559623165
Data Scientist,Full-Time,Senior,Expert,236900,United States Dollar,United States,236900,United States,Large,2022,-0.0192362803705586
Data Scientist,Full-Time,Senior,Expert,159200,United States Dollar,United States,159200,United States,Large,2022,-0.0783122140657936
Data Science Manager,Full-Time,Senior,Expert,243225,United States Dollar,United States,243225,United States,Medium,2022,-0.1241233493407415
Data Science Manager,Full-Time,Senior,Expert,179775,United States Dollar,United States,179775,United States,Medium,2022,-0.1879984547416297
Data Scientist,Full-Time,Senior,Expert,191475,United States Dollar,United States,191475,United States,Medium,2022,-0.0537732724954756
Data Scientist,Full-Time,Senior,Expert,141525,United States Dollar,United States,141525,United States,Medium,2022,-0.0917506584424123
Data Scientist,Full-Time,Senior,Expert,218000,United States Dollar,United States,218000,United States,Medium,2022,-0.0336061020802103
Data Scientist,Full-Time,Senior,Expert,145300,United States Dollar,United States,145300,United States,Medium,2022,-0.0888804956406168
ML Engineer,Full-Time,Senior,Expert,195400,United States Dollar,United States,195400,United States,Large,2022,-0.1777803919142506
ML Engineer,Full-Time,Senior,Expert,131300,United States Dollar,United States,131300,United States,Large,2022,-0.2257120289578349
Data Specialist,Full-Time,Entry,Junior,105000,United States Dollar,United States,105000,Chile,Large,2022,-0.2247967446354583
Data Scientist,Full-Time,Senior,Expert,207000,United States Dollar,United States,207000,United States,Medium,2022,-0.041969490376833
Data Scientist,Full-Time,Senior,Expert,153000,United States Dollar,United States,153000,United States,Medium,2022,-0.0830261238329809
Data Analyst,Full-Time,Senior,Expert,99000,United States Dollar,United States,99000,United States,Medium,2022,-0.1710351517157718
Machine Learning Engineer,Full-Time,Senior,Expert,200000,United States Dollar,Puerto Rico,200000,Puerto Rico,Medium,2022,0.021457173412749
Machine Learning Engineer,Full-Time,Senior,Expert,135000,United States Dollar,Puerto Rico,135000,Puerto Rico,Medium,2022,-0.1936395281898536
Data Engineer,Full-Time,Senior,Expert,195700,United States Dollar,United States,195700,United States,Medium,2022,0.1623127898309965
Data Engineer,Full-Time,Senior,Expert,130500,United States Dollar,United States,130500,United States,Medium,2022,-0.1271489434012541
